[ID] 1 [TITLE] Book #0 [AUTHOR] Author #0 [GENRE] Genre #0

[ID] 12 [TITLE] Book #1 [AUTHOR] Author #1 [GENRE] Genre #1

[ID] 23 [TITLE] Book #2 [AUTHOR] Author #2 [GENRE] Genre #2

[ID] 34 [TITLE] Book #3 [AUTHOR] Author #3 [GENRE] Genre #3

[ID] 45 [TITLE] Book #4 [AUTHOR] Author #4 [GENRE] Genre #4

[ID] 56 [TITLE] Book #5 [AUTHOR] Author #5 [GENRE] Genre #5

[ID] 67 [TITLE] Book #6 [AUTHOR] Author #6 [GENRE] Genre #6

[ID] 78 [TITLE] Book #7 [AUTHOR] Author #7 [GENRE] Genre #7

[ID] 89 [TITLE] Book #8 [AUTHOR] Author #8 [GENRE] Genre #8

[ID] 100 [TITLE] Book #9 [AUTHOR] Author #9 [GENRE] Genre #9

